obs_id,code,irai_theme,country,iso3,year,verified_value,data_source,indicator_name,indicator_type,variant,variant_type,query
9,AI_Pubs,Transparency,Bahrain,BHR,2010,9.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Bahrain in 2010? Please provide a specific numeric value if the information is available to you."
10,AI_Pubs,Transparency,Bangladesh,BGD,2010,49.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Bangladesh in 2010? Please provide a specific numeric value if the information is available to you."
10,AI_Pubs,Transparency,Bangladesh,BGD,2010,49.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Bangladesh's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Bangladesh and the regional average if the information is available to you."
10,AI_Pubs,Transparency,Bangladesh,BGD,2010,49.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Bangladesh in 2010? Please provide a specific numeric value if the information is available to you."
11,AI_Pubs,Transparency,Belarus,BLR,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Belarus in 2010? Please provide a specific numeric value if the information is available to you."
11,AI_Pubs,Transparency,Belarus,BLR,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Belarus's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Belarus and the regional average if the information is available to you."
11,AI_Pubs,Transparency,Belarus,BLR,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Belarus in 2010? Please provide a specific numeric value if the information is available to you."
12,AI_Pubs,Transparency,Belgium,BEL,2010,209.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Belgium in 2010? Please provide a specific numeric value if the information is available to you."
12,AI_Pubs,Transparency,Belgium,BEL,2010,209.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Belgium's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Belgium and the regional average if the information is available to you."
12,AI_Pubs,Transparency,Belgium,BEL,2010,209.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Belgium in 2010? Please provide a specific numeric value if the information is available to you."
13,AI_Pubs,Transparency,Benin,BEN,2010,3.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Benin in 2010? Please provide a specific numeric value if the information is available to you."
13,AI_Pubs,Transparency,Benin,BEN,2010,3.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Benin's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Benin and the regional average if the information is available to you."
13,AI_Pubs,Transparency,Benin,BEN,2010,3.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Benin in 2010? Please provide a specific numeric value if the information is available to you."
14,AI_Pubs,Transparency,Bosnia And Herzegovina,BIH,2010,10.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Bosnia And Herzegovina in 2010? Please provide a specific numeric value if the information is available to you."
14,AI_Pubs,Transparency,Bosnia And Herzegovina,BIH,2010,10.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Bosnia And Herzegovina's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Bosnia And Herzegovina and the regional average if the information is available to you."
14,AI_Pubs,Transparency,Bosnia And Herzegovina,BIH,2010,10.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Bosnia And Herzegovina in 2010? Please provide a specific numeric value if the information is available to you."
15,AI_Pubs,Transparency,Botswana,BWA,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Botswana in 2010? Please provide a specific numeric value if the information is available to you."
15,AI_Pubs,Transparency,Botswana,BWA,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Botswana's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Botswana and the regional average if the information is available to you."
15,AI_Pubs,Transparency,Botswana,BWA,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Botswana in 2010? Please provide a specific numeric value if the information is available to you."
16,AI_Pubs,Transparency,Brazil,BRA,2010,612.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Brazil in 2010? Please provide a specific numeric value if the information is available to you."
16,AI_Pubs,Transparency,Brazil,BRA,2010,612.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Brazil's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Brazil and the regional average if the information is available to you."
16,AI_Pubs,Transparency,Brazil,BRA,2010,612.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Brazil in 2010? Please provide a specific numeric value if the information is available to you."
17,AI_Pubs,Transparency,Brunei Darussalam,BRN,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Brunei Darussalam in 2010? Please provide a specific numeric value if the information is available to you."
17,AI_Pubs,Transparency,Brunei Darussalam,BRN,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Brunei Darussalam's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Brunei Darussalam and the regional average if the information is available to you."
17,AI_Pubs,Transparency,Brunei Darussalam,BRN,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Brunei Darussalam in 2010? Please provide a specific numeric value if the information is available to you."
18,AI_Pubs,Transparency,Bulgaria,BGR,2010,56.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Bulgaria in 2010? Please provide a specific numeric value if the information is available to you."
18,AI_Pubs,Transparency,Bulgaria,BGR,2010,56.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Bulgaria's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Bulgaria and the regional average if the information is available to you."
18,AI_Pubs,Transparency,Bulgaria,BGR,2010,56.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Bulgaria in 2010? Please provide a specific numeric value if the information is available to you."
19,AI_Pubs,Transparency,Canada,CAN,2010,930.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Canada in 2010? Please provide a specific numeric value if the information is available to you."
19,AI_Pubs,Transparency,Canada,CAN,2010,930.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Canada's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Canada and the regional average if the information is available to you."
19,AI_Pubs,Transparency,Canada,CAN,2010,930.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Canada in 2010? Please provide a specific numeric value if the information is available to you."
20,AI_Pubs,Transparency,Chile,CHL,2010,45.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Chile in 2010? Please provide a specific numeric value if the information is available to you."
20,AI_Pubs,Transparency,Chile,CHL,2010,45.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Chile's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Chile and the regional average if the information is available to you."
20,AI_Pubs,Transparency,Chile,CHL,2010,45.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Chile in 2010? Please provide a specific numeric value if the information is available to you."
21,AI_Pubs,Transparency,China,CHN,2010,8230.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for China in 2010? Please provide a specific numeric value if the information is available to you."
21,AI_Pubs,Transparency,China,CHN,2010,8230.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did China's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for China and the regional average if the information is available to you."
21,AI_Pubs,Transparency,China,CHN,2010,8230.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for China in 2010? Please provide a specific numeric value if the information is available to you."
22,AI_Pubs,Transparency,Colombia,COL,2010,63.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Colombia in 2010? Please provide a specific numeric value if the information is available to you."
22,AI_Pubs,Transparency,Colombia,COL,2010,63.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Colombia's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Colombia and the regional average if the information is available to you."
22,AI_Pubs,Transparency,Colombia,COL,2010,63.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Colombia in 2010? Please provide a specific numeric value if the information is available to you."
23,AI_Pubs,Transparency,Costa Rica,CRI,2010,5.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Costa Rica in 2010? Please provide a specific numeric value if the information is available to you."
23,AI_Pubs,Transparency,Costa Rica,CRI,2010,5.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Costa Rica's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Costa Rica and the regional average if the information is available to you."
23,AI_Pubs,Transparency,Costa Rica,CRI,2010,5.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Costa Rica in 2010? Please provide a specific numeric value if the information is available to you."
24,AI_Pubs,Transparency,Cote D'Ivoire,CIV,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Cote D'Ivoire in 2010? Please provide a specific numeric value if the information is available to you."
24,AI_Pubs,Transparency,Cote D'Ivoire,CIV,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Cote D'Ivoire's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Cote D'Ivoire and the regional average if the information is available to you."
24,AI_Pubs,Transparency,Cote D'Ivoire,CIV,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Cote D'Ivoire in 2010? Please provide a specific numeric value if the information is available to you."
25,AI_Pubs,Transparency,Croatia,HRV,2010,70.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Croatia in 2010? Please provide a specific numeric value if the information is available to you."
25,AI_Pubs,Transparency,Croatia,HRV,2010,70.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Croatia's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Croatia and the regional average if the information is available to you."
25,AI_Pubs,Transparency,Croatia,HRV,2010,70.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Croatia in 2010? Please provide a specific numeric value if the information is available to you."
26,AI_Pubs,Transparency,Cuba,CUB,2010,9.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Cuba in 2010? Please provide a specific numeric value if the information is available to you."
26,AI_Pubs,Transparency,Cuba,CUB,2010,9.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Cuba's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Cuba and the regional average if the information is available to you."
26,AI_Pubs,Transparency,Cuba,CUB,2010,9.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Cuba in 2010? Please provide a specific numeric value if the information is available to you."
27,AI_Pubs,Transparency,Cyprus,CYP,2010,82.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Cyprus in 2010? Please provide a specific numeric value if the information is available to you."
27,AI_Pubs,Transparency,Cyprus,CYP,2010,82.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Cyprus's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Cyprus and the regional average if the information is available to you."
27,AI_Pubs,Transparency,Cyprus,CYP,2010,82.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Cyprus in 2010? Please provide a specific numeric value if the information is available to you."
28,AI_Pubs,Transparency,Czechia,CZE,2010,212.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Czechia in 2010? Please provide a specific numeric value if the information is available to you."
28,AI_Pubs,Transparency,Czechia,CZE,2010,212.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Czechia's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Czechia and the regional average if the information is available to you."
28,AI_Pubs,Transparency,Czechia,CZE,2010,212.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Czechia in 2010? Please provide a specific numeric value if the information is available to you."
29,AI_Pubs,Transparency,Denmark,DNK,2010,71.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Denmark in 2010? Please provide a specific numeric value if the information is available to you."
29,AI_Pubs,Transparency,Denmark,DNK,2010,71.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Denmark's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Denmark and the regional average if the information is available to you."
29,AI_Pubs,Transparency,Denmark,DNK,2010,71.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Denmark in 2010? Please provide a specific numeric value if the information is available to you."
30,AI_Pubs,Transparency,Dominican Republic,DOM,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Dominican Republic in 2010? Please provide a specific numeric value if the information is available to you."
30,AI_Pubs,Transparency,Dominican Republic,DOM,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Dominican Republic's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Dominican Republic and the regional average if the information is available to you."
30,AI_Pubs,Transparency,Dominican Republic,DOM,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Dominican Republic in 2010? Please provide a specific numeric value if the information is available to you."
31,AI_Pubs,Transparency,Ecuador,ECU,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Ecuador in 2010? Please provide a specific numeric value if the information is available to you."
31,AI_Pubs,Transparency,Ecuador,ECU,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Ecuador's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Ecuador and the regional average if the information is available to you."
31,AI_Pubs,Transparency,Ecuador,ECU,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Ecuador in 2010? Please provide a specific numeric value if the information is available to you."
